budget_for,year,head_title,level_code,total_actuals,total_estimate_py,total_revised_py,total_estimate_cy,level_col,head_title_updated,level_num,min_level,ref_id,display_title,category,slug
police,2018-19,police__null__district police,2055__0__109,1273.4426,1921.9704,2124.4156,2223.3646,level_3,police__district police,3,3,1276,Police -> District Police,district police,police_district_police
police,2019-20,police__null__district police,2055__0__109,1550.9553,2223.3646,2326.4362,2467.7494,level_3,police__district police,3,3,1277,Police -> District Police,district police,police_district_police
police,2020-21,police__null__district police,2055__0__109,1755.2346,2467.7494,2519.2312,1876.6526,level_3,police__district police,3,3,1278,Police -> District Police,district police,police_district_police
police,2021-22,police__null__district police,2055__0__109,1781.1869,1876.6526,2142.917,2279.5698,level_3,police__district police,3,3,1279,Police -> District Police,district police,police_district_police
police,2022-23,police__null__district police,2055__0__109,1807.8617,2279.5698,2337.1449,3462.3410999999996,level_3,police__district police,3,3,1280,Police -> District Police,district police,police_district_police
police,2018-19,police__null__village police,2055__0__110,40.879,64.2713,83.9693,84.2042,level_3,police__village police,3,3,1281,Police -> Village Police,village police,police_village_police
police,2019-20,police__null__village police,2055__0__110,46.78810000000001,84.2042,84.2262,102.1097,level_3,police__village police,3,3,1282,Police -> Village Police,village police,police_village_police
police,2020-21,police__null__village police,2055__0__110,74.8322,102.1097,103.2447,91.0571,level_3,police__village police,3,3,1283,Police -> Village Police,village police,police_village_police
police,2021-22,police__null__village police,2055__0__110,77.7799,91.0571,98.5896,75.5859,level_3,police__village police,3,3,1284,Police -> Village Police,village police,police_village_police
police,2022-23,police__null__village police,2055__0__110,74.12899999999999,75.5859,84.3686,71.4515,level_3,police__village police,3,3,1285,Police -> Village Police,village police,police_village_police
police,2018-19,police__null__railway police,2055__0__111,28.3659,33.4272,41.7922,51.161,level_3,police__railway police,3,3,1286,Police -> Railway Police,railway police,police_railway_police
police,2019-20,police__null__railway police,2055__0__111,34.6471,51.161,53.608999999999995,55.034400000000005,level_3,police__railway police,3,3,1287,Police -> Railway Police,railway police,police_railway_police
police,2020-21,police__null__railway police,2055__0__111,39.3468,55.034400000000005,56.9744,45.6662,level_3,police__railway police,3,3,1288,Police -> Railway Police,railway police,police_railway_police
police,2021-22,police__null__railway police,2055__0__111,40.091,45.6662,46.8162,57.211099999999995,level_3,police__railway police,3,3,1289,Police -> Railway Police,railway police,police_railway_police
police,2022-23,police__null__railway police,2055__0__111,39.8007,57.211099999999995,58.3411,69.2757,level_3,police__railway police,3,3,1290,Police -> Railway Police,railway police,police_railway_police
