grant,head_title_updated,category
police,"police__forensic science__regional forensic science laboratory, jorhat__machinery and equipment / tools & plants",forensic science
police,police__forensic science__machinery and equipment / tools & plants,forensic science
police,"police__forensic science__regional forensic science laboratory, jorhat__materials & supplies",forensic science
police,police__forensic science__materials & supplies,forensic science
police,police__forensic science__minor works,forensic science
police,police__direction and administration__head quarters establishment__salaries,direction and administration
police,police__direction and administration__head quarters establishment__travel expenses,direction and administration
police,police__direction and administration__head quarters establishment__office expenses,direction and administration
police,police__direction and administration__head quarters establishment__secret service expenditure,direction and administration
police,police__direction and administration__head quarters establishment__purchase of motor vehicles,direction and administration
police,police__direction and administration__police range__salaries,direction and administration
police,police__direction and administration__police range__travel expenses,direction and administration
police,police__direction and administration__police range__office expenses,direction and administration
police,police__direction and administration__police range__secret service expenditure,direction and administration
police,police__education and training__police training college__salaries,education and training
police,police__education and training__police training college__travel expenses,education and training
police,police__education and training__police training college__office expenses,education and training
police,police__education and training__police training college__minor works,education and training
police,police__education and training__armed police training centre__salaries,education and training - armed police training centre
police,police__education and training__armed police training centre__travel expenses,education and training - armed police training centre
police,police__education and training__armed police training centre__office expenses,education and training - armed police training centre
police,police__education and training__armed police training centre__minor works,education and training - armed police training centre
police,police__education and training__recruits training school of assam__salaries,education and training
police,police__education and training__recruits training school of assam__travel expenses,education and training
police,police__education and training__recruits training school of assam__office expenses,education and training
police,police__education and training__recruits training school of assam__minor works,education and training
police,police__education and training__battalion training centre__salaries,education and training - battalion training centre
police,police__education and training__battalion training centre__travel expenses,education and training - battalion training centre
police,police__education and training__battalion training centre__office expenses,education and training - battalion training centre
police,police__education and training__battalion training centre__minor works,education and training - battalion training centre
police,police__education and training__assam police academy (training)__salaries,education and training
police,police__education and training__assam police academy (training)__travel expenses,education and training
police,police__education and training__assam police academy (training)__office expenses,education and training
police,police__criminal investigation and vigilance__criminal investigation department__salaries,criminal investigation and vigilance
police,police__criminal investigation and vigilance__criminal investigation department__travel expenses,criminal investigation and vigilance
police,police__criminal investigation and vigilance__criminal investigation department__office expenses,criminal investigation and vigilance
police,police__criminal investigation and vigilance__criminal investigation department__secret service expenditure,criminal investigation and vigilance
police,police__criminal investigation and vigilance__criminal investigation department__minor works,criminal investigation and vigilance
police,police__criminal investigation and vigilance__special branch__salaries,criminal investigation and vigilance - special branch
police,police__criminal investigation and vigilance__special branch__secret service expenditure,criminal investigation and vigilance - special branch
police,police__criminal investigation and vigilance__special branch__minor works,criminal investigation and vigilance - special branch
police,police__criminal investigation and vigilance__special branch (bieo)__salaries,criminal investigation and vigilance - special branch
police,police__criminal investigation and vigilance__special branch (bieo)__travel expenses,criminal investigation and vigilance - special branch
police,police__criminal investigation and vigilance__special branch (bieo)__office expenses,criminal investigation and vigilance - special branch
police,police__criminal investigation and vigilance__special branch (bieo)__secret service expenditure,criminal investigation and vigilance - special branch
police,police__special police__armed police battalions__salaries,special police
police,police__special police__armed police battalions__travel expenses,special police
police,police__special police__armed police battalions__office expenses,special police
police,police__special police__assam nagaland border__secret service expenditure,special police
police,police__district police__district police proper__salaries,district police - district police proper
police,police__district police__district police proper__travel expenses,district police - district police proper
police,police__district police__district police proper__office expenses,district police - district police proper
police,police__district police__district police proper__secret service expenditure,district police - district police proper
police,police__district police__women police__salaries,district police - women police
police,police__district police__women police__travel expenses,district police - women police
police,police__district police__women police__office expenses,district police - women police
police,police__district police__home guard__wages,district police
police,police__district police__implementation of police commission recommendation__salaries,district police
police,police__district police__new police stations & outposts__salaries,district police
police,police__district police__re-organisation of prosecution staff__salaries,district police
police,police__district police__explosive magazine guards__salaries,district police
police,police__district police__liquor prohibition staff__salaries,district police
police,police__district police__river police__salaries,district police - river police
police,police__district police__river police__travel expenses,district police - river police
police,police__district police__river police__office expenses,district police - river police
police,police__district police__river police__secret service expenditure,district police - river police
police,police__district police__river police__minor works,district police - river police
police,police__district police__river police__purchase of motor vehicles,district police - river police
police,police__district police__bhutan & arunachal border__salaries,district police
police,police__district police__establishment of watch post schemes__reimbursable from govt. of india__salaries,district police - establishment of watch post schemes
police,police__district police__establishment of watch post schemes__reimbursable from govt. of india__travel expenses,district police - establishment of watch post schemes
police,police__district police__establishment of watch post schemes__reimbursable from govt. of india__maintenance,district police - establishment of watch post schemes
police,police__district police__establishment of watch post schemes__reimbursable from govt. of india__materials & supplies,district police - establishment of watch post schemes
police,police__district police__establishment of watch post schemes__reimbursable from govt. of india__other charges,district police - establishment of watch post schemes
police,"police__district police__thumb, finger & photo.schemes__reimbursable from govt. of india__salaries","district police - thumb, finger & photo.schemes"
police,"police__district police__thumb, finger & photo.schemes__reimbursable from govt. of india__travel expenses","district police - thumb, finger & photo.schemes"
police,"police__district police__thumb, finger & photo.schemes__reimbursable from govt. of india__office expenses","district police - thumb, finger & photo.schemes"
police,"police__district police__thumb, finger & photo.schemes__reimbursable from govt. of india__materials & supplies","district police - thumb, finger & photo.schemes"
police,"police__district police__thumb, finger & photo.schemes__reimbursable from govt. of india__other charges","district police - thumb, finger & photo.schemes"
police,"police__district police__police, passport & visa system__reimbursable from govt. of india__salaries","district police - police, passport & visa system"
police,"police__district police__police, passport & visa system__reimbursable from govt. of india__travel expenses","district police - police, passport & visa system"
police,"police__district police__police, passport & visa system__reimbursable from govt. of india__office expenses","district police - police, passport & visa system"
police,"police__district police__police, passport & visa system__reimbursable from govt. of india__materials & supplies","district police - police, passport & visa system"
police,police__district police__guards for s.s.b. zonal office__salaries,district police - guards
police,police__district police__guards for a.i.r__salaries,district police - guards
police,police__district police__guards for brahmaputra bridge__salaries,district police - guards
police,police__district police__guards for rbi guwahati__salaries,district police - guards
police,police__district police__police guards for sbi branch__salaries,district police - guards
police,police__district police__police guards for civil aerodromes__salaries,district police - guards
police,"police__district police__police guard for aoc, digboi__salaries",district police
police,police__district police__police guards for assam gas based power projects__salaries,district police - guards
police,police__district police__inter-state international border affairs__salaries,district police
police,police__district police__inter-state international border affairs__travel expenses,district police
police,police__district police__inter-state international border affairs__office expenses,district police
police,police__district police__raising of additional platoons__salaries,district police
police,police__district police__checking of bangladeshi infiltration__reimbursable from govt. of india__salaries,district police - checking of bangladeshi infiltration
police,police__district police__checking of bangladeshi infiltration__reimbursable from govt. of india__wages,district police - checking of bangladeshi infiltration
police,police__district police__checking of bangladeshi infiltration__reimbursable from govt. of india__travel expenses,district police - checking of bangladeshi infiltration
police,police__district police__checking of bangladeshi infiltration__reimbursable from govt. of india__office expenses,district police - checking of bangladeshi infiltration
police,"police__district police__checking of bangladeshi infiltration__reimbursable from govt. of india__rents, rates & taxes / royalty",district police - checking of bangladeshi infiltration
police,police__district police__checking of bangladeshi infiltration__reimbursable from govt. of india__minor works,district police - checking of bangladeshi infiltration
police,police__district police__checking of bangladeshi infiltration__reimbursable from govt. of india__maintenance,district police - checking of bangladeshi infiltration
police,police__district police__checking of bangladeshi infiltration__reimbursable from govt. of india__materials & supplies,district police - checking of bangladeshi infiltration
