grant,head_title_updated,category
police,police__modernisation of police force__national scheme for modernisation of police & other forces__crime & criminal tracking network & system and enhanced initiative for ciminal tracking network & system__office expenses,modernisation of police force
police,police__modernisation of police force__national scheme for modernisation of police & other forces__crime & criminal tracking network & system and enhanced initiative for ciminal tracking network & system__payment for professional and special services,modernisation of police force
police,police__modernisation of police force__national scheme for modernisation of police & other forces__crime & criminal tracking network & system and enhanced initiative for ciminal tracking network & system__machinery and equipment / tools & plants,modernisation of police force
police,police__modernisation of police force__national scheme for modernisation of police & other forces__crime & criminal tracking network & system and enhanced initiative for ciminal tracking network & system__materials & supplies,modernisation of police force
police,police__direction and administration__head quarters establishment__mobile app shield 8- citizen security management system__other charges,Citizen Security Mobile App
police,police__direction and administration__police range__minor works,direction and administration
police,police__special police__armed police battalions__minor works,special police
police,police__direction and administration__head quarters establishment__minor works,direction and administration
police,police__district police__district police proper__minor works,district police - district police proper
police,police__district police__establishment of watch post schemes__reimbursable from govt. of india__payment for professional and special services,district police - establishment of watch post schemes
police,police__district police__checking of bangladeshi infiltration__reimbursable from govt. of india__payment for professional and special services,district police - checking of bangladeshi infiltration
police,police__district police__checking of bangladeshi infiltration__reimbursable from govt. of india__other charges,district police - checking of bangladeshi infiltration
police,police__criminal investigation and vigilance__anti-corruption branch__salaries,criminal investigation and vigilance - anti-corruption branch
police,police__criminal investigation and vigilance__anti-corruption branch__travel expenses,criminal investigation and vigilance - anti-corruption branch
police,police__criminal investigation and vigilance__anti-corruption branch__office expenses,criminal investigation and vigilance - anti-corruption branch
police,police__criminal investigation and vigilance__anti-corruption branch__secret service expenditure,criminal investigation and vigilance - anti-corruption branch
police,police__criminal investigation and vigilance__anti-corruption branch__minor works,criminal investigation and vigilance - anti-corruption branch
police,police__criminal investigation and vigilance__anti-corruption branch__purchase of motor vehicles,criminal investigation and vigilance - anti-corruption branch
police,police__criminal investigation and vigilance__anti-corruption branch__other charges,criminal investigation and vigilance - anti-corruption branch
police,"police__criminal investigation and vigilance__anti-corruption branch__rents, rates & taxes / royalty",criminal investigation and vigilance - anti-corruption branch
police,police__criminal investigation and vigilance__anti-corruption branch__materials & supplies,criminal investigation and vigilance - anti-corruption branch
police,police__criminal investigation and vigilance__anti-corruption branch__payment for professional and special services,criminal investigation and vigilance - anti-corruption branch
police,police__criminal investigation and vigilance__anti-corruption branch__machinery and equipment / tools & plants,criminal investigation and vigilance - anti-corruption branch
police,police__criminal investigation and vigilance__general security related expenditure__logistic support to cbi__office expenses,criminal investigation and vigilance
police,police__criminal investigation and vigilance__general security related expenditure__logistic support to army conducting operation__other charges,criminal investigation and vigilance
police,capital outlay on police__state police__forensic science laboratory__major works,capital outlay
police,capital outlay on police__police housing__major works,capital outlay
police,capital outlay on police__state police__district police proper__major works,capital outlay
police,capital outlay on police__state police__bangiadeshi infiltration__bangladeshi infiltration__major works,capital outlay
police,capital outlay on police__state police__wireless & computer__major works,capital outlay
police,capital outlay on police__state police__special branch__major works,capital outlay
police,capital outlay on police__state police__police training__payment for professional and special services,capital outlay
police,"capital outlay on police__police housing__upgration of standard of administration, award of thirteenth finance commission__police housing__major works",capital outlay
police,"capital outlay on police__police housing__upgration of standard of administration, award of thirteenth finance commission__police training__major works",capital outlay
police,capital outlay on police__state police__anti-corruption branch__major works,capital outlay
justice,administration of justice,revenue expenditure
justice,taxes on vehicles,taxes on vehicles
justice,labour & employment__labour,labour and employment
justice,capital outlay on public works__general,capital outlay
justice,capital outlay on housing__government residential buildings,capital outlay
justice,administration of justice__high courts,high courts
justice,administration of justice__legal advisers and counsels,legal advisers and counsels
justice,administration of justice__other expenditure,other expenditure
justice,taxes on vehicles__other expenditure,taxes on vehicles
justice,labour & employment__labour__industrial relations,labour and employment
justice,capital outlay on public works__general__construction - general pool accommodation,capital outlay
justice,capital outlay on housing__government residential buildings__other housing programme (gad),capital outlay
justice,capital outlay on housing__government residential buildings__construction general pool accomodation,capital outlay
justice,administration of justice__other expenditure__legal aid to the accused under section 304 cr. p.c.,other expenditure
justice,capital outlay on public works__office buildings__construction - general pool accommodation__judicial department,capital outlay
justice,capital outlay on public works__general__construction - general pool accommodation__building (administration of justice),capital outlay
justice,capital outlay on public works__office buildings__construction - general pool accommodation__building (administration of justice),capital outlay
justice,capital outlay on housing__government residential buildings__other housing programme (gad)__administration of justice,capital outlay
justice,capital outlay on housing__government residential buildings__construction general pool accomodation__administration of justice,capital outlay
justice,administration of justice__high courts__establishment,high courts
justice,administration of justice__high courts__judges,high courts
justice,administration of justice__civil and session courts,civil and sessions court
justice,administration of justice__criminal courts,criminal courts
justice,administration of justice__civil and session courts__upgradation of standard of administration-14th finance commission,civil and sessions court
justice,administration of justice__legal advisers and counsels__government pleader,legal advisers and counsels - government pleader
justice,administration of justice__legal advisers and counsels__public prosecutor.,legal advisers and counsels - public prosecutor
justice,administration of justice__legal advisers and counsels__government advocate.,legal advisers and counsels
justice,administration of justice__legal advisers and counsels__advocate general,legal advisers and counsels
justice,administration of justice__legal advisers and counsels__legal remembrances,legal advisers and counsels
justice,administration of justice__legal advisers and counsels__counsel for supreme court,legal advisers and counsels - counsel for supreme court
justice,administration of justice__other expenditure__law research institute eastern region,other expenditure
justice,"administration of justice__legal advisers and counsels__the national law school and judicial academy, assam",legal advisers and counsels
justice,"administration of justice__other expenditure__judicial academy, assam","other expenditure - judicial academy, assam"
justice,administration of justice__legal advisers and counsels__other lawyers,legal advisers and counsels
justice,"administration of justice__other expenditure__judicial academy, assam__capacity building","other expenditure - judicial academy, assam"
justice,administration of justice__other expenditure__legal aid to the poor,other expenditure - legal aid
justice,administration of justice__other expenditure__law commission,other expenditure -law commission
justice,administration of justice__other expenditure__translation of central laws,other expenditure - translation of central laws
justice,administration of justice__other expenditure__upgradation of standard of administration-14th finance commission,other expenditure
justice,taxes on vehicles__other expenditure__motor accident claim,taxes on vehicles
justice,"labour & employment__labour__industrial relations__industrial tribunal, guwahati",labour and employment - industrial tribunal
justice,"labour & employment__labour__industrial relations__industrial tribunal, dibrugarh",labour and employment - industrial tribunal
justice,"labour & employment__labour__industrial relations__industrial tribunal, cachar",labour and employment - industrial tribunal
justice,"labour & employment__labour__industrial relations__labour court, guwahati",labour and employment - labour court
justice,"labour & employment__labour__industrial relations__labour court, dibrugarh",labour and employment - labour court
justice,capital outlay on public works__office buildings__construction - general pool accommodation__judicial department__completion of high court building (construction of underpass),capital outlay
justice,"capital outlay on public works__office buildings__construction - general pool accommodation__judicial department__construction of family court, mact court & cbi court in assam",capital outlay
justice,capital outlay on public works__general__construction - general pool accommodation__building (administration of justice)__works - block grant and c.a to s.p (development of infrastructure facility for judiciary ),capital outlay
justice,capital outlay on public works__office buildings__construction - general pool accommodation__building (administration of justice)__works,capital outlay
justice,"capital outlay on public works__office buildings__construction - general pool accommodation__judicial department__establishment of national law college & judicial academy (for interior works, landscape, kitchen equipment etc.) under state specific scheme",capital outlay
justice,capital outlay on housing__government residential buildings__other housing programme (gad)__administration of justice__works,capital outlay
justice,capital outlay on housing__government residential buildings__other housing programme (gad)__administration of justice__central share (block grant),capital outlay
justice,capital outlay on housing__government residential buildings__construction general pool accomodation__administration of justice__works,capital outlay
justice,administration of justice__high courts__establishment__salaries,high courts
justice,administration of justice__high courts__establishment__travel expenses,high courts
justice,administration of justice__high courts__judges__salaries,high courts
justice,administration of justice__high courts__judges__travel expenses,high courts
justice,administration of justice__high courts__judges__hospitality expenses / sumptuary allowances etc,high courts
justice,administration of justice__civil and session courts__salaries,civil and sessions court
justice,administration of justice__civil and session courts__travel expenses,civil and sessions court
justice,administration of justice__civil and session courts__office expenses,civil and sessions court
justice,administration of justice__criminal courts__salaries,criminal courts
justice,administration of justice__criminal courts__wages,criminal courts
justice,administration of justice__criminal courts__travel expenses,criminal courts
justice,administration of justice__criminal courts__office expenses,criminal courts
justice,"administration of justice__criminal courts__rents, rates & taxes / royalty",criminal courts
justice,administration of justice__high courts__judges__office expenses,high courts
justice,administration of justice__high courts__establishment__office expenses,high courts
justice,administration of justice__high courts__establishment__wages,high courts
justice,administration of justice__civil and session courts__wages,civil and sessions court
justice,administration of justice__civil and session courts__payment for professional and special services,civil and sessions court
justice,"administration of justice__civil and session courts__rents, rates & taxes / royalty",civil and sessions court
justice,administration of justice__criminal courts__payment for professional and special services,criminal courts
justice,administration of justice__high courts__establishment__payment for professional and special services,high courts
justice,administration of justice__high courts__judges__wages,high courts
justice,administration of justice__civil and session courts__other charges,civil and sessions court
justice,administration of justice__civil and session courts__upgradation of standard of administration-14th finance commission__payment for professional and special services,civil and sessions court
justice,administration of justice__civil and session courts__upgradation of standard of administration-14th finance commission__other charges,civil and sessions court
justice,administration of justice__legal advisers and counsels__government pleader__salaries,legal advisers and counsels - government pleader
justice,administration of justice__legal advisers and counsels__government pleader__travel expenses,legal advisers and counsels - government pleader
justice,administration of justice__legal advisers and counsels__public prosecutor.__salaries,legal advisers and counsels - public prosecutor
justice,administration of justice__legal advisers and counsels__public prosecutor.__travel expenses,legal advisers and counsels - public prosecutor
justice,administration of justice__legal advisers and counsels__government advocate.__salaries,legal advisers and counsels
justice,administration of justice__legal advisers and counsels__government advocate.__travel expenses,legal advisers and counsels
justice,administration of justice__legal advisers and counsels__government advocate.__payment for professional and special services,legal advisers and counsels
justice,administration of justice__legal advisers and counsels__advocate general__salaries,legal advisers and counsels
justice,administration of justice__legal advisers and counsels__advocate general__wages,legal advisers and counsels
justice,administration of justice__legal advisers and counsels__advocate general__travel expenses,legal advisers and counsels
justice,administration of justice__legal advisers and counsels__advocate general__office expenses,legal advisers and counsels
justice,administration of justice__legal advisers and counsels__legal remembrances__salaries,legal advisers and counsels
justice,administration of justice__legal advisers and counsels__legal remembrances__travel expenses,legal advisers and counsels
justice,administration of justice__legal advisers and counsels__legal remembrances__office expenses,legal advisers and counsels
justice,administration of justice__legal advisers and counsels__legal remembrances__grants-in-aid general (non-salary),legal advisers and counsels
justice,administration of justice__legal advisers and counsels__counsel for supreme court__salaries,legal advisers and counsels - counsel for supreme court
justice,administration of justice__legal advisers and counsels__counsel for supreme court__office expenses,legal advisers and counsels - counsel for supreme court
justice,administration of justice__other expenditure__law research institute eastern region__salaries,other expenditure
justice,administration of justice__other expenditure__law research institute eastern region__travel expenses,other expenditure
justice,administration of justice__legal advisers and counsels__counsel for supreme court__travel expenses,legal advisers and counsels - counsel for supreme court
justice,administration of justice__legal advisers and counsels__counsel for supreme court__payment for professional and special services,legal advisers and counsels - counsel for supreme court
justice,"administration of justice__legal advisers and counsels__the national law school and judicial academy, assam__grants-in-aid general (salary)",legal advisers and counsels
justice,administration of justice__legal advisers and counsels__government pleader__office expenses,legal advisers and counsels - government pleader
justice,administration of justice__legal advisers and counsels__public prosecutor.__office expenses,legal advisers and counsels - public prosecutor
justice,administration of justice__legal advisers and counsels__government advocate.__office expenses,legal advisers and counsels
justice,"administration of justice__other expenditure__judicial academy, assam__grants-in-aid general (salary)","other expenditure - judicial academy, assam"
justice,"administration of justice__other expenditure__judicial academy, assam__grants-in-aid general (non-salary)","other expenditure - judicial academy, assam"
justice,administration of justice__legal advisers and counsels__government advocate.__wages,legal advisers and counsels
justice,administration of justice__legal advisers and counsels__legal remembrances__wages,legal advisers and counsels
justice,"administration of justice__legal advisers and counsels__the national law school and judicial academy, assam__grants-in-aid general (non-salary)",legal advisers and counsels
justice,administration of justice__legal advisers and counsels__government pleader__payment for professional and special services,legal advisers and counsels - government pleader
justice,administration of justice__legal advisers and counsels__other lawyers__payment for professional and special services,legal advisers and counsels
justice,administration of justice__legal advisers and counsels__public prosecutor.__payment for professional and special services,legal advisers and counsels - public prosecutor
justice,administration of justice__legal advisers and counsels__advocate general__payment for professional and special services,legal advisers and counsels
justice,administration of justice__other expenditure__law research institute eastern region__office expenses,other expenditure
justice,"administration of justice__other expenditure__judicial academy, assam__capacity building__grants-in-aid general (non-salary)","other expenditure - judicial academy, assam"
justice,administration of justice__other expenditure__legal aid to the poor__salaries,other expenditure - legal aid
justice,administration of justice__other expenditure__legal aid to the poor__travel expenses,other expenditure - legal aid
justice,administration of justice__other expenditure__legal aid to the poor__office expenses,other expenditure - legal aid
justice,administration of justice__other expenditure__law commission__salaries,other expenditure -law commission
justice,administration of justice__other expenditure__law commission__travel expenses,other expenditure -law commission
justice,administration of justice__other expenditure__law commission__office expenses,other expenditure -law commission
justice,administration of justice__other expenditure__translation of central laws__salaries,other expenditure - translation of central laws
justice,administration of justice__other expenditure__translation of central laws__travel expenses,other expenditure - translation of central laws
justice,administration of justice__other expenditure__translation of central laws__office expenses,other expenditure - translation of central laws
justice,administration of justice__other expenditure__legal aid to the poor__wages,other expenditure - legal aid
justice,administration of justice__other expenditure__legal aid to the poor__payment for professional and special services,other expenditure - legal aid
justice,administration of justice__other expenditure__legal aid to the poor__materials & supplies,other expenditure - legal aid
justice,administration of justice__other expenditure__law commission__wages,other expenditure -law commission
justice,administration of justice__other expenditure__legal aid to the poor__other charges,other expenditure - legal aid
justice,administration of justice__other expenditure__law commission__other charges,other expenditure -law commission
justice,administration of justice__other expenditure__law commission__minor works,other expenditure -law commission
justice,administration of justice__other expenditure__translation of central laws__other charges,other expenditure - translation of central laws
justice,"administration of justice__other expenditure__legal aid to the poor__rents, rates & taxes / royalty",other expenditure - legal aid
justice,administration of justice__other expenditure__legal aid to the poor__hospitality expenses / sumptuary allowances etc,other expenditure - legal aid
justice,administration of justice__other expenditure__upgradation of standard of administration-14th finance commission__other charges,other expenditure
justice,administration of justice__other expenditure__translation of central laws__maintenance,other expenditure - translation of central laws
justice,administration of justice__other expenditure__translation of central laws__payment for professional and special services,other expenditure - translation of central laws
justice,administration of justice__other expenditure__law commission__maintenance,other expenditure -law commission
justice,administration of justice__other expenditure__translation of central laws__minor works,other expenditure - translation of central laws
justice,taxes on vehicles__other expenditure__motor accident claim__salaries,taxes on vehicles
justice,taxes on vehicles__other expenditure__motor accident claim__travel expenses,taxes on vehicles
justice,taxes on vehicles__other expenditure__motor accident claim__office expenses,taxes on vehicles
justice,taxes on vehicles__other expenditure__motor accident claim__wages,taxes on vehicles
justice,"taxes on vehicles__other expenditure__motor accident claim__rents, rates & taxes / royalty",taxes on vehicles
justice,"labour & employment__labour__industrial relations__industrial tribunal, guwahati__salaries",labour and employment - industrial tribunal
justice,"labour & employment__labour__industrial relations__industrial tribunal, guwahati__wages",labour and employment - industrial tribunal
justice,"labour & employment__labour__industrial relations__industrial tribunal, guwahati__travel expenses",labour and employment - industrial tribunal
justice,"labour & employment__labour__industrial relations__industrial tribunal, dibrugarh__salaries",labour and employment - industrial tribunal
justice,"labour & employment__labour__industrial relations__industrial tribunal, dibrugarh__wages",labour and employment - industrial tribunal
justice,"labour & employment__labour__industrial relations__industrial tribunal, dibrugarh__travel expenses",labour and employment - industrial tribunal
justice,"labour & employment__labour__industrial relations__industrial tribunal, dibrugarh__office expenses",labour and employment - industrial tribunal
justice,"labour & employment__labour__industrial relations__industrial tribunal, cachar__salaries",labour and employment - industrial tribunal
justice,"labour & employment__labour__industrial relations__industrial tribunal, cachar__wages",labour and employment - industrial tribunal
justice,"labour & employment__labour__industrial relations__industrial tribunal, cachar__travel expenses",labour and employment - industrial tribunal
justice,"labour & employment__labour__industrial relations__industrial tribunal, cachar__office expenses",labour and employment - industrial tribunal
justice,"labour & employment__labour__industrial relations__industrial tribunal, cachar__rents, rates & taxes / royalty",labour and employment - industrial tribunal
justice,"labour & employment__labour__industrial relations__labour court, guwahati__salaries",labour and employment - labour court
justice,"labour & employment__labour__industrial relations__labour court, guwahati__wages",labour and employment - labour court
justice,"labour & employment__labour__industrial relations__labour court, guwahati__travel expenses",labour and employment - labour court
justice,"labour & employment__labour__industrial relations__labour court, guwahati__office expenses",labour and employment - labour court
justice,"labour & employment__labour__industrial relations__labour court, dibrugarh__salaries",labour and employment - labour court
justice,"labour & employment__labour__industrial relations__labour court, dibrugarh__travel expenses",labour and employment - labour court
justice,"labour & employment__labour__industrial relations__labour court, dibrugarh__office expenses",labour and employment - labour court
justice,"labour & employment__labour__industrial relations__labour court, dibrugarh__rents, rates & taxes / royalty",labour and employment - labour court
justice,"labour & employment__labour__industrial relations__industrial tribunal, guwahati__office expenses",labour and employment - industrial tribunal
justice,"labour & employment__labour__industrial relations__industrial tribunal, dibrugarh__payment for professional and special services",labour and employment - industrial tribunal
justice,"labour & employment__labour__industrial relations__labour court, dibrugarh__wages",labour and employment - labour court
justice,capital outlay on public works__office buildings__construction - general pool accommodation__judicial department__completion of high court building (construction of underpass)__major works,capital outlay
justice,"capital outlay on public works__office buildings__construction - general pool accommodation__judicial department__construction of family court, mact court & cbi court in assam__major works",capital outlay
justice,capital outlay on public works__general__construction - general pool accommodation__building (administration of justice)__works - block grant and c.a to s.p (development of infrastructure facility for judiciary )__major works,capital outlay
justice,capital outlay on public works__office buildings__construction - general pool accommodation__building (administration of justice)__works__major works,capital outlay
justice,"capital outlay on public works__office buildings__construction - general pool accommodation__judicial department__establishment of national law college & judicial academy (for interior works, landscape, kitchen equipment etc.) under state specific scheme__major works",capital outlay
justice,capital outlay on housing__government residential buildings__other housing programme (gad)__administration of justice__works__major works,capital outlay
justice,capital outlay on housing__government residential buildings__other housing programme (gad)__administration of justice__central share (block grant)__major works,capital outlay
justice,capital outlay on housing__government residential buildings__construction general pool accomodation__administration of justice__works__major works,capital outlay
jails,jails,revenue expenditure
jails,jails__direction and administration,direction and administration
jails,jails__jails,jails
jails,jails__other expenditure,other expenditure
jails,jails__jails__changes for police custody,jails
jails,capital outlay on public works__office buildings__construction - general pool accommodation__jails,capital outlay
jails,jails__direction and administration__head quarters establishment,direction and administration
jails,jails__direction and administration__range,direction and administration
jails,jails__jails__district jails,district jails
jails,jails__jail manufacturers,jail manufacturers
jails,jails__other expenditure__open air jails,open-air jails
jails,jails__jails__district jails__movement of prisons,district jails
jails,jails__jails__changes for police custody__movement of prisons,jails
jails,capital outlay on public works__office buildings__construction - general pool accommodation__jails__modernisation of prison administration,capital outlay
jails,capital outlay on public works__office buildings__construction - general pool accommodation__jails__genl. security related expenditure,capital outlay
jails,"capital outlay on public works__office buildings__construction - general pool accommodation__jails__works (construction of 11 numbers of staff quarters & expenses on construction of prisoners barrack, kitchen, dining room, latrine, master drain, etc.)",capital outlay
jails,capital outlay on public works__office buildings__construction - general pool accommodation__district jails,capital outlay
jails,jails__direction and administration__head quarters establishment__salaries,direction and administration
jails,jails__direction and administration__head quarters establishment__travel expenses,direction and administration
jails,jails__direction and administration__head quarters establishment__payment for professional and special services,direction and administration
jails,jails__direction and administration__range__salaries,direction and administration
jails,jails__direction and administration__range__travel expenses,direction and administration
jails,jails__jails__district jails__salaries,district jails
jails,jails__jails__district jails__travel expenses,district jails
jails,jails__jails__district jails__minor works,district jails
jails,jails__jails__district jails__purchase of motor vehicles,district jails
jails,jails__jails__district jails__materials & supplies,district jails
jails,jails__jail manufacturers__salaries,jail manufacturers
jails,jails__other expenditure__open air jails__salaries,open-air jails
jails,jails__other expenditure__open air jails__travel expenses,open-air jails
jails,jails__direction and administration__head quarters establishment__purchase of motor vehicles,direction and administration
jails,jails__direction and administration__head quarters establishment__maintenance,direction and administration
jails,jails__direction and administration__range__office expenses,direction and administration
jails,jails__jails__district jails__office expenses,district jails
jails,"jails__jails__district jails__rents, rates & taxes / royalty",district jails
jails,jails__jails__district jails__machinery and equipment / tools & plants,district jails
jails,jails__other expenditure__open air jails__office expenses,open-air jails
jails,jails__other expenditure__open air jails__minor works,open-air jails
jails,jails__direction and administration__head quarters establishment__office expenses,direction and administration
jails,jails__jails__district jails__maintenance,district jails
jails,jails__jail manufacturers__travel expenses,jail manufacturers
jails,jails__jail manufacturers__office expenses,jail manufacturers
jails,jails__jail manufacturers__maintenance,jail manufacturers
jails,jails__other expenditure__open air jails__maintenance,open-air jails
jails,jails__jails__district jails__movement of prisons__salaries,district jails
jails,jails__jails__district jails__movement of prisons__travel expenses,district jails
jails,jails__jails__district jails__movement of prisons__office expenses,district jails
jails,jails__jails__district jails__movement of prisons__minor works,district jails
jails,jails__jails__district jails__movement of prisons__maintenance,district jails
jails,jails__jails__district jails__movement of prisons__materials & supplies,district jails
jails,"jails__jails__district jails__movement of prisons__rents, rates & taxes / royalty",district jails
jails,jails__direction and administration__head quarters establishment__other charges,direction and administration
jails,jails__jail manufacturers__materials & supplies,jail manufacturers
jails,"jails__other expenditure__open air jails__rents, rates & taxes / royalty",open-air jails
jails,jails__other expenditure__open air jails__machinery and equipment / tools & plants,open-air jails
jails,jails__other expenditure__open air jails__materials & supplies,open-air jails
jails,jails__jail manufacturers__machinery and equipment / tools & plants,jail manufacturers
jails,jails__jails__changes for police custody__movement of prisons__other charges,jails
jails,jails__direction and administration__head quarters establishment__wages,direction and administration
jails,jails__jails__district jails__wages,district jails
jails,jails__jail manufacturers__wages,jail manufacturers
jails,jails__other expenditure__open air jails__wages,open-air jails
jails,jails__jails__district jails__movement of prisons__wages,district jails
jails,jails__direction and administration__head quarters establishment__machinery and equipment / tools & plants,direction and administration
jails,jails__direction and administration__head quarters establishment__grants-in-aid general (non-salary),direction and administration
jails,jails__jails__district jails__movement of prisons__purchase of motor vehicles,district jails
jails,capital outlay on public works__office buildings__construction - general pool accommodation__jails__modernisation of prison administration__major works,capital outlay
jails,capital outlay on public works__office buildings__construction - general pool accommodation__jails__genl. security related expenditure__major works,capital outlay
jails,"capital outlay on public works__office buildings__construction - general pool accommodation__jails__works (construction of 11 numbers of staff quarters & expenses on construction of prisoners barrack, kitchen, dining room, latrine, master drain, etc.)__major works",capital outlay
jails,capital outlay on public works__office buildings__construction - general pool accommodation__district jails__major works,capital outlay
jails,capital outlay on public works__office buildings,capital outlay
jails,capital outlay on public works__office buildings__construction - general pool accommodation,capital outlay
justice,capital outlay on public works__office buildings,capital outlay
justice,capital outlay on public works__office buildings__construction - general pool accommodation,capital outlay
jails,capital outlay on public works__office buildings__construction - general pool accommodation__head quarters establishment,capital outlay
jails,capital outlay on public works__office buildings__construction - general pool accommodation__head quarters establishment__major works,capital outlay
justice,capital outlay on housing__government residential buildings__other housing programme__administration of justice__works__major works,capital outlay
justice,capital outlay on housing__government residential buildings__other housing programme__administration of justice__works,capital outlay
justice,capital outlay on housing__government residential buildings__other housing programme__administration of justice__central share (block grant)__major works,capital outlay
justice,capital outlay on housing__government residential buildings__other housing programme__administration of justice__central share (block grant),capital outlay
justice,capital outlay on housing__government residential buildings__other housing programme__administration of justice,capital outlay
justice,capital outlay on housing__government residential buildings__other housing programme,capital outlay
justice,administration of justice__other expenditure__legal aid,other expenditure - legal aid
justice,administration of justice__other expenditure__legal aid__salaries,other expenditure - legal aid
justice,administration of justice__other expenditure__legal aid__travel expenses,other expenditure - legal aid
justice,administration of justice__other expenditure__legal aid__office expenses,other expenditure - legal aid
justice,administration of justice__other expenditure__legal aid__wages,other expenditure - legal aid
justice,administration of justice__other expenditure__legal aid__payment for professional and special services,other expenditure - legal aid
justice,administration of justice__other expenditure__legal aid__materials & supplies,other expenditure - legal aid
justice,administration of justice__other expenditure__legal aid__other charges,other expenditure - legal aid
justice,"administration of justice__other expenditure__legal aid__rents, rates & taxes / royalty",other expenditure - legal aid
justice,administration of justice__other expenditure__legal aid__hospitality expenses / sumptuary allowances etc,other expenditure - legal aid
police,police__education and training__police training college & institutes,education and training
police,police__education and training__police training college & institutes__salaries,education and training
police,police__education and training__police training college & institutes__travel expenses,education and training
police,police__education and training__police training college & institutes__office expenses,education and training
police,police__education and training__police training college & institutes__minor works,education and training
police,police__education and training__police training college & institutes__machinery and equipment / tools & plants,education and training
police,police__education and training__police training college & institutes__materials & supplies,education and training
police,police__education and training__police training college & institutes__payment for professional and special services,education and training
police,police__education and training__police training college & institutes__other charges,education and training
police,police__education and training__police training college & institutes__maintenance,education and training
police,capital outlay on police__state police__police training college & institutes,capital outlay
police,police__direction and administration__head quarters establishment__mobile app - citizen security management system,Citizen Security Mobile App
police,police__other expenditure__relief operation in connection with disturbances__operation against militant raising of assam commando battalion,other expenditure - relief operation in connection with disturbances
police,police__other expenditure__relief operation in connection with disturbances__operation against militant raising of assam commando battalion__machinery and equipment / tools & plants,other expenditure - relief operation in connection with disturbances
police,police__other expenditure__relief operation in connection with disturbances__operation against militant raising of assam commando battalion__materials & supplies,other expenditure - relief operation in connection with disturbances
police,police__other expenditure__relief operation in connection with disturbances__operation against militant raising of assam commando battalion__minor works,other expenditure - relief operation in connection with disturbances
police,police__other expenditure__relief operation in connection with disturbances__operation against militant raising of assam commando battalion__office expenses,other expenditure - relief operation in connection with disturbances
police,police__other expenditure__relief operation in connection with disturbances__operation against militant raising of assam commando battalion__other charges,other expenditure - relief operation in connection with disturbances
police,police__other expenditure__relief operation in connection with disturbances__operation against militant raising of assam commando battalion__salaries,other expenditure - relief operation in connection with disturbances
police,police__other expenditure__relief operation in connection with disturbances__operation against militant raising of assam commando battalion__travel expenses,other expenditure - relief operation in connection with disturbances
police,police__other expenditure__relief operation in connection with disturbances__raising of new battalion (assam police task force / new indian reserve battalion),other expenditure - relief operation in connection with disturbances
police,police__other expenditure__relief operation in connection with disturbances__raising of new battalion (assam police task force / new indian reserve battalion)__machinery and equipment / tools & plants,other expenditure - relief operation in connection with disturbances
police,police__other expenditure__relief operation in connection with disturbances__raising of new battalion (assam police task force / new indian reserve battalion)__minor works,other expenditure - relief operation in connection with disturbances
police,police__other expenditure__relief operation in connection with disturbances__raising of new battalion (assam police task force / new indian reserve battalion)__office expenses,other expenditure - relief operation in connection with disturbances
police,police__other expenditure__relief operation in connection with disturbances__raising of new battalion (assam police task force / new indian reserve battalion)__other charges,other expenditure - relief operation in connection with disturbances
police,police__other expenditure__relief operation in connection with disturbances__raising of new battalion (assam police task force / new indian reserve battalion)__salaries,other expenditure - relief operation in connection with disturbances
police,police__other expenditure__relief operation in connection with disturbances__raising of new battalion (assam police task force / new indian reserve battalion)__travel expenses,other expenditure - relief operation in connection with disturbances
police,capital outlay on police__state police__police training college & institutes__payment for professional and special services,capital outlay
police,police__direction and administration__head quarters establishment__mobile app - citizen security management system__other charges,Citizen Security Mobile App
police,police__other expenditure__relief operation in connection with disturbances__operation against militant raising of assam commando battalion__maintenance,other expenditure - relief operation in connection with disturbances
police,police__other expenditure__relief operation in connection with disturbances__raising of new battalion (assam police task force / new indian reserve battalion)__maintenance,other expenditure - relief operation in connection with disturbances
police,police__other expenditure__relief operation in connection with disturbances__raising of new battalion (assam police task force / new indian reserve battalion)__materials & supplies,other expenditure - relief operation in connection with disturbances
police,police__railway police__railway police and supervising staff,railway police
police,police__railway police__railway police and supervising staff__maintenance,railway police
police,police__railway police__railway police and supervising staff__materials & supplies,railway police
police,police__railway police__railway police and supervising staff__minor works,railway police
police,police__railway police__railway police and supervising staff__office expenses,railway police
police,police__railway police__railway police and supervising staff__other charges,railway police
police,"police__railway police__railway police and supervising staff__rents, rates & taxes / royalty",railway police
police,police__railway police__railway police and supervising staff__salaries,railway police
police,police__railway police__railway police and supervising staff__travel expenses,railway police
