budget_for,year,head_title,level_code,total_actuals,total_estimate_py,total_revised_py,total_estimate_cy,level_col
jails,2019-20,jails__null__jails__changes for police custody,2056__0__101__487,3.0877,4.604,8.238999999999999,8.252,level_4
jails,2020-21,jails__null__jails__changes for police custody,2056__0__101__487,8.1282,8.252,8.252,7.6963,level_4
jails,2021-22,jails__null__jails__changes for police custody,2056__0__101__487,5.021599999999999,7.6963,7.6963,2.8963,level_4
jails,2022-23,jails__null__jails__changes for police custody,2056__0__101__487,2.1088,2.8963,5.0148,2.6067,level_4
jails,2018-19,jails__null__direction and administration__head quarters establishment__null,2056__0__1__172__0,1.9554000000000002,4.9786,5.1812000000000005,6.7115,level_5
jails,2019-20,jails__null__direction and administration__head quarters establishment__null,2056__0__1__172__0,2.0999,6.7115,6.951499999999999,10.2416,level_5
jails,2020-21,jails__null__direction and administration__head quarters establishment__null,2056__0__1__172__0,4.0195,10.2416,10.6416,3.8758,level_5
jails,2021-22,jails__null__direction and administration__head quarters establishment__null,2056__0__1__172__0,2.6686,3.8758,4.1989,3.7724,level_5
jails,2022-23,jails__null__direction and administration__head quarters establishment__null,2056__0__1__172__0,2.4026,3.7724,3.8124000000000002,3.9078,level_5
jails,2018-19,jails__null__direction and administration__range__null,2056__0__1__1738__0,0.4796,0.6017,0.7576999999999999,0.7363,level_5
jails,2019-20,jails__null__direction and administration__range__null,2056__0__1__1738__0,0.5537,0.7363,0.7363,0.7748999999999999,level_5
jails,2020-21,jails__null__direction and administration__range__null,2056__0__1__1738__0,0.5267000000000001,0.7748999999999999,0.8924,0.8889,level_5
jails,2021-22,jails__null__direction and administration__range__null,2056__0__1__1738__0,0.7703,0.8889,0.8889,0.8256,level_5
jails,2022-23,jails__null__direction and administration__range__null,2056__0__1__1738__0,0.7217,0.8256,0.8256,0.7016000000000001,level_5
jails,2018-19,jails__null__jails__district jails__null,2056__0__101__486__0,59.059200000000004,65.18310000000001,73.0331,81.558,level_5
jails,2019-20,jails__null__jails__district jails__null,2056__0__101__486__0,61.146100000000004,81.558,81.558,88.4351,level_5
jails,2020-21,jails__null__jails__district jails__null,2056__0__101__486__0,64.3842,88.4351,89.1601,77.9011,level_5
jails,2021-22,jails__null__jails__district jails__null,2056__0__101__486__0,69.2892,77.9011,78.2111,75.4655,level_5
jails,2022-23,jails__null__jails__district jails__null,2056__0__101__486__0,63.2109,75.4655,76.1555,81.68849999999999,level_5
jails,2018-19,jails__null__jail manufacturers__null__null,2056__0__102__0__0,1.1024,1.5212999999999999,1.8088,2.0191999999999997,level_5
jails,2019-20,jails__null__jail manufacturers__null__null,2056__0__102__0__0,1.4706000000000001,2.0191999999999997,2.0191999999999997,2.2128,level_5
jails,2020-21,jails__null__jail manufacturers__null__null,2056__0__102__0__0,1.1268,2.2128,2.2128,1.788,level_5
jails,2021-22,jails__null__jail manufacturers__null__null,2056__0__102__0__0,1.3976,1.788,1.788,2.8152,level_5
jails,2022-23,jails__null__jail manufacturers__null__null,2056__0__102__0__0,1.1485,2.8152,2.8152,2.9596,level_5
jails,2018-19,jails__null__other expenditure__open air jails__null,2056__0__800__489__0,0.7948999999999999,0.9261,1.2048999999999999,1.2324,level_5
jails,2019-20,jails__null__other expenditure__open air jails__null,2056__0__800__489__0,0.8147,1.2324,1.2324,1.6217,level_5
jails,2020-21,jails__null__other expenditure__open air jails__null,2056__0__800__489__0,1.0845,1.6217,1.6217,1.4194,level_5
jails,2021-22,jails__null__other expenditure__open air jails__null,2056__0__800__489__0,1.1325,1.4194,1.4194,1.2968000000000002,level_5
jails,2022-23,jails__null__other expenditure__open air jails__null,2056__0__800__489__0,0.9902,1.2968000000000002,1.2968000000000002,1.5325,level_5
jails,2018-19,jails__null__jails__district jails__movement of prisons,2056__0__101__486__600,0.3669,0.5123,0.7983,0.679,level_5
jails,2019-20,jails__null__jails__district jails__movement of prisons,2056__0__101__486__600,0.5909,0.679,0.679,0.6975,level_5
jails,2020-21,jails__null__jails__district jails__movement of prisons,2056__0__101__486__600,0.4876,0.6975,0.7425,0.8096000000000001,level_5
jails,2021-22,jails__null__jails__district jails__movement of prisons,2056__0__101__486__600,0.6789000000000001,0.8096000000000001,0.8198000000000001,0.7443000000000001,level_5
jails,2022-23,jails__null__jails__district jails__movement of prisons,2056__0__101__486__600,0.5041,0.7443000000000001,0.7443000000000001,0.6637000000000001,level_5
jails,2018-19,jails__null__jails__changes for police custody__movement of prisons,2056__0__101__487__600,3.5532,3.095,3.095,4.604,level_5
jails,2019-20,jails__null__jails__changes for police custody__movement of prisons,2056__0__101__487__600,3.0877,4.604,8.238999999999999,8.252,level_5
jails,2020-21,jails__null__jails__changes for police custody__movement of prisons,2056__0__101__487__600,8.1282,8.252,8.252,7.6963,level_5
jails,2021-22,jails__null__jails__changes for police custody__movement of prisons,2056__0__101__487__600,5.021599999999999,7.6963,7.6963,2.8963,level_5
jails,2022-23,jails__null__jails__changes for police custody__movement of prisons,2056__0__101__487__600,2.1088,2.8963,5.0148,2.6067,level_5
jails,2018-19,jails__null__direction and administration__head quarters establishment__null__salaries,2056__0__1__172__0__1,1.5877000000000001,1.9095,2.1121,2.1067,level_6
jails,2019-20,jails__null__direction and administration__head quarters establishment__null__salaries,2056__0__1__172__0__1,1.7269999999999999,2.1067,2.1067,2.2948,level_6
