budget_for,year,head_title,level_code,total_actuals,total_estimate_py,total_revised_py,total_estimate_cy,level_col
jails,2018-19,capital outlay on public works__office buildings__construction - general pool accommodation__district jails,4059__1__101__486,0,60,60,93.11,level_4
jails,2019-20,capital outlay on public works__office buildings__construction - general pool accommodation__district jails,4059__1__101__486,35.77,93.11,93.11,100,level_4
jails,2020-21,capital outlay on public works__office buildings__construction - general pool accommodation__district jails,4059__1__101__486,66.83,100,100,59.85,level_4
jails,2021-22,capital outlay on public works__office buildings__construction - general pool accommodation__district jails,4059__1__101__486,84.63,59.85,59.85,0,level_4
jails,2018-19,jails__null__direction and administration__head quarters establishment__null,2056__0__1__172__0,195.54000000000002,497.86,518.12,671.15,level_5
jails,2019-20,jails__null__direction and administration__head quarters establishment__null,2056__0__1__172__0,209.98999999999998,671.15,695.15,1024.16,level_5
jails,2020-21,jails__null__direction and administration__head quarters establishment__null,2056__0__1__172__0,401.95,1024.16,1064.16,387.58,level_5
jails,2021-22,jails__null__direction and administration__head quarters establishment__null,2056__0__1__172__0,266.86,387.58,419.89,377.24,level_5
jails,2018-19,jails__null__direction and administration__range__null,2056__0__1__1738__0,47.96,60.17,75.77,73.63,level_5
jails,2019-20,jails__null__direction and administration__range__null,2056__0__1__1738__0,55.37,73.63,73.63,77.49,level_5
jails,2020-21,jails__null__direction and administration__range__null,2056__0__1__1738__0,52.67,77.49,89.24,88.89,level_5
jails,2021-22,jails__null__direction and administration__range__null,2056__0__1__1738__0,77.03,88.89,88.89,82.56,level_5
jails,2018-19,jails__null__jails__district jails__null,2056__0__101__486__0,5905.92,6518.31,7303.31,8155.8,level_5
jails,2019-20,jails__null__jails__district jails__null,2056__0__101__486__0,6114.610000000001,8155.8,8155.8,8843.51,level_5
jails,2020-21,jails__null__jails__district jails__null,2056__0__101__486__0,6438.42,8843.51,8916.01,7790.11,level_5
jails,2021-22,jails__null__jails__district jails__null,2056__0__101__486__0,6928.92,7790.11,7821.11,7546.55,level_5
jails,2018-19,jails__null__jail manufacturers__null__null,2056__0__102__0__0,110.24000000000001,152.13,180.88,201.92,level_5
jails,2019-20,jails__null__jail manufacturers__null__null,2056__0__102__0__0,147.06,201.92,201.92,221.28,level_5
jails,2020-21,jails__null__jail manufacturers__null__null,2056__0__102__0__0,112.67999999999999,221.28,221.28,178.8,level_5
jails,2021-22,jails__null__jail manufacturers__null__null,2056__0__102__0__0,139.76,178.8,178.8,281.52,level_5
jails,2018-19,jails__null__other expenditure__open air jails__null,2056__0__800__489__0,79.49,92.61,120.49,123.24,level_5
jails,2019-20,jails__null__other expenditure__open air jails__null,2056__0__800__489__0,81.47,123.24,123.24,162.17,level_5
jails,2020-21,jails__null__other expenditure__open air jails__null,2056__0__800__489__0,108.45,162.17,162.17,141.94,level_5
jails,2021-22,jails__null__other expenditure__open air jails__null,2056__0__800__489__0,113.25,141.94,141.94,129.68,level_5
jails,2018-19,jails__null__jails__district jails__movement of prisons,2056__0__101__486__600,36.69,51.23,79.83,67.9,level_5
jails,2019-20,jails__null__jails__district jails__movement of prisons,2056__0__101__486__600,59.09,67.9,67.9,69.75,level_5
jails,2020-21,jails__null__jails__district jails__movement of prisons,2056__0__101__486__600,48.76,69.75,74.25,80.96000000000001,level_5
jails,2021-22,jails__null__jails__district jails__movement of prisons,2056__0__101__486__600,67.89,80.96000000000001,81.98,74.43,level_5
jails,2018-19,jails__null__jails__changes for police custody__movement of prisons,2056__0__101__487__600,355.32,309.5,309.5,460.4,level_5
jails,2019-20,jails__null__jails__changes for police custody__movement of prisons,2056__0__101__487__600,308.77,460.4,823.9,825.2,level_5
jails,2020-21,jails__null__jails__changes for police custody__movement of prisons,2056__0__101__487__600,812.82,825.2,825.2,769.63,level_5
jails,2021-22,jails__null__jails__changes for police custody__movement of prisons,2056__0__101__487__600,502.15999999999997,769.63,769.63,289.63,level_5
jails,2018-19,capital outlay on public works__office buildings__construction - general pool accommodation__jails__modernisation of prison administration,4059__1__101__1484__485,0,32.53,32.53,38,level_5
jails,2019-20,capital outlay on public works__office buildings__construction - general pool accommodation__jails__modernisation of prison administration,4059__1__101__1484__485,16.56,38,38,21.14,level_5
jails,2020-21,capital outlay on public works__office buildings__construction - general pool accommodation__jails__modernisation of prison administration,4059__1__101__1484__485,0,21.14,21.14,10.08,level_5
jails,2021-22,capital outlay on public works__office buildings__construction - general pool accommodation__jails__modernisation of prison administration,4059__1__101__1484__485,10.54,10.08,10.08,0,level_5
jails,2018-19,capital outlay on public works__office buildings__construction - general pool accommodation__jails__genl. security related expenditure,4059__1__101__1484__486,0,128.81,128.81,217.15,level_5
jails,2019-20,capital outlay on public works__office buildings__construction - general pool accommodation__jails__genl. security related expenditure,4059__1__101__1484__486,0,217.15,217.15,200,level_5
jails,2020-21,capital outlay on public works__office buildings__construction - general pool accommodation__jails__genl. security related expenditure,4059__1__101__1484__486,142.68,200,200,141.28,level_5
jails,2021-22,capital outlay on public works__office buildings__construction - general pool accommodation__jails__genl. security related expenditure,4059__1__101__1484__486,102.59,141.28,141.28,0,level_5
jails,2018-19,"capital outlay on public works__office buildings__construction - general pool accommodation__jails__works (construction of 11 numbers of staff quarters & expenses on construction of prisoners barrack, kitchen, dining room, latrine, master drain, etc.)",4059__1__101__1484__770,0,495,495,1380.94,level_5
jails,2019-20,"capital outlay on public works__office buildings__construction - general pool accommodation__jails__works (construction of 11 numbers of staff quarters & expenses on construction of prisoners barrack, kitchen, dining room, latrine, master drain, etc.)",4059__1__101__1484__770,64.53,1380.94,1380.94,1800,level_5
jails,2020-21,"capital outlay on public works__office buildings__construction - general pool accommodation__jails__works (construction of 11 numbers of staff quarters & expenses on construction of prisoners barrack, kitchen, dining room, latrine, master drain, etc.)",4059__1__101__1484__770,515.71,1800,1800,1550.22,level_5
jails,2021-22,"capital outlay on public works__office buildings__construction - general pool accommodation__jails__works (construction of 11 numbers of staff quarters & expenses on construction of prisoners barrack, kitchen, dining room, latrine, master drain, etc.)",4059__1__101__1484__770,1511.02,1550.22,1550.22,0,level_5
jails,2019-20,capital outlay on public works__office buildings__construction - general pool accommodation__head quarters establishment__null,4059__1__101__172__0,3.2,800,800,200,level_5
jails,2020-21,capital outlay on public works__office buildings__construction - general pool accommodation__head quarters establishment__null,4059__1__101__172__0,0,200,200,138.57,level_5
jails,2021-22,capital outlay on public works__office buildings__construction - general pool accommodation__head quarters establishment__null,4059__1__101__172__0,0,138.57,138.57,0,level_5
jails,2018-19,capital outlay on public works__office buildings__construction - general pool accommodation__district jails__null,4059__1__101__486__0,0,60,60,93.11,level_5
jails,2019-20,capital outlay on public works__office buildings__construction - general pool accommodation__district jails__null,4059__1__101__486__0,35.77,93.11,93.11,100,level_5
jails,2020-21,capital outlay on public works__office buildings__construction - general pool accommodation__district jails__null,4059__1__101__486__0,66.83,100,100,59.85,level_5
jails,2021-22,capital outlay on public works__office buildings__construction - general pool accommodation__district jails__null,4059__1__101__486__0,84.63,59.85,59.85,0,level_5
jails,2018-19,jails__null__direction and administration__head quarters establishment__null__salaries,2056__0__1__172__0__1,158.77,190.95,211.21,210.67,level_6
jails,2019-20,jails__null__direction and administration__head quarters establishment__null__salaries,2056__0__1__172__0__1,172.7,210.67,210.67,229.48,level_6
jails,2020-21,jails__null__direction and administration__head quarters establishment__null__salaries,2056__0__1__172__0__1,183.59,229.48,229.48,222.46,level_6
jails,2021-22,jails__null__direction and administration__head quarters establishment__null__salaries,2056__0__1__172__0__1,197.4,222.46,222.46,219.03,level_6
jails,2018-19,jails__null__direction and administration__head quarters establishment__null__travel expenses,2056__0__1__172__0__3,0.5,3.85,3.85,4.24,level_6
jails,2019-20,jails__null__direction and administration__head quarters establishment__null__travel expenses,2056__0__1__172__0__3,0.4,4.24,4.24,4.24,level_6
jails,2020-21,jails__null__direction and administration__head quarters establishment__null__travel expenses,2056__0__1__172__0__3,1.16,4.24,4.24,3.94,level_6
jails,2021-22,jails__null__direction and administration__head quarters establishment__null__travel expenses,2056__0__1__172__0__3,2.49,3.94,3.94,3.55,level_6
jails,2018-19,jails__null__direction and administration__head quarters establishment__null__payment for professional and special services,2056__0__1__172__0__5,0,2.4,2.4,22.6,level_6
jails,2019-20,jails__null__direction and administration__head quarters establishment__null__payment for professional and special services,2056__0__1__172__0__5,0,22.6,22.6,20,level_6
jails,2020-21,jails__null__direction and administration__head quarters establishment__null__payment for professional and special services,2056__0__1__172__0__5,0,20,20,0.01,level_6
jails,2021-22,jails__null__direction and administration__head quarters establishment__null__payment for professional and special services,2056__0__1__172__0__5,6,0.01,0.01,4.51,level_6
jails,2018-19,jails__null__direction and administration__range__null__salaries,2056__0__1__1738__0__1,44.25,51.17,66.77,64.63,level_6
jails,2019-20,jails__null__direction and administration__range__null__salaries,2056__0__1__1738__0__1,54.57,64.63,64.63,68.49,level_6
