budget_for,year,head_title,level_code,total_actuals,total_estimate_py,total_revised_py,total_estimate_cy,level_col,head_title_updated,level_num,min_level,ref_id,display_title,category,slug
jails,2019-20,jails__null__direction and administration__head quarters establishment,2056__0__1__172,2.0999,6.7115,6.951499999999999,10.2416,level_4,jails__direction and administration__head quarters establishment,4,4,30,Jails -> Direction And Administration -> Head Quarters Establishment,direction and administration,jails_direction_and_administration_head_quarters_establishment
jails,2020-21,jails__null__direction and administration__head quarters establishment,2056__0__1__172,4.0195,10.2416,10.6416,3.8758,level_4,jails__direction and administration__head quarters establishment,4,4,31,Jails -> Direction And Administration -> Head Quarters Establishment,direction and administration,jails_direction_and_administration_head_quarters_establishment
jails,2021-22,jails__null__direction and administration__head quarters establishment,2056__0__1__172,2.6686,3.8758,4.1989,3.7724,level_4,jails__direction and administration__head quarters establishment,4,4,32,Jails -> Direction And Administration -> Head Quarters Establishment,direction and administration,jails_direction_and_administration_head_quarters_establishment
jails,2018-19,jails__null__direction and administration__range,2056__0__1__1738,0.4796,0.6017,0.7576999999999999,0.7363,level_4,jails__direction and administration__range,4,4,33,Jails -> Direction And Administration -> Range,direction and administration,jails_direction_and_administration_range
jails,2019-20,jails__null__direction and administration__range,2056__0__1__1738,0.5537,0.7363,0.7363,0.7748999999999999,level_4,jails__direction and administration__range,4,4,34,Jails -> Direction And Administration -> Range,direction and administration,jails_direction_and_administration_range
jails,2020-21,jails__null__direction and administration__range,2056__0__1__1738,0.5267000000000001,0.7748999999999999,0.8924,0.8889,level_4,jails__direction and administration__range,4,4,35,Jails -> Direction And Administration -> Range,direction and administration,jails_direction_and_administration_range
jails,2021-22,jails__null__direction and administration__range,2056__0__1__1738,0.7703,0.8889,0.8889,0.8256,level_4,jails__direction and administration__range,4,4,36,Jails -> Direction And Administration -> Range,direction and administration,jails_direction_and_administration_range
jails,2018-19,jails__null__jails__district jails,2056__0__101__486,59.4261,65.6954,73.8314,82.23700000000001,level_4,jails__jails__district jails,4,4,37,Jails -> Jails -> District Jails,district jails,jails_jails_district_jails
jails,2019-20,jails__null__jails__district jails,2056__0__101__486,61.736999999999995,82.23700000000001,82.23700000000001,89.1326,level_4,jails__jails__district jails,4,4,38,Jails -> Jails -> District Jails,district jails,jails_jails_district_jails
jails,2020-21,jails__null__jails__district jails,2056__0__101__486,64.87180000000001,89.1326,89.9026,78.7107,level_4,jails__jails__district jails,4,4,39,Jails -> Jails -> District Jails,district jails,jails_jails_district_jails
jails,2021-22,jails__null__jails__district jails,2056__0__101__486,69.96809999999999,78.7107,79.0309,76.2098,level_4,jails__jails__district jails,4,4,40,Jails -> Jails -> District Jails,district jails,jails_jails_district_jails
jails,2018-19,jails__null__other expenditure__open air jails,2056__0__800__489,0.7948999999999999,0.9261,1.2049,1.2324,level_4,jails__other expenditure__open air jails,4,4,45,Jails -> Other Expenditure -> Open Air Jails,open-air jails,jails_other_expenditure_open_air_jails
jails,2019-20,jails__null__other expenditure__open air jails,2056__0__800__489,0.8147,1.2324,1.2324,1.6217,level_4,jails__other expenditure__open air jails,4,4,46,Jails -> Other Expenditure -> Open Air Jails,open-air jails,jails_other_expenditure_open_air_jails
jails,2020-21,jails__null__other expenditure__open air jails,2056__0__800__489,1.0845,1.6217,1.6217,1.4194,level_4,jails__other expenditure__open air jails,4,4,47,Jails -> Other Expenditure -> Open Air Jails,open-air jails,jails_other_expenditure_open_air_jails
jails,2021-22,jails__null__other expenditure__open air jails,2056__0__800__489,1.1325,1.4194,1.4194,1.2968000000000002,level_4,jails__other expenditure__open air jails,4,4,48,Jails -> Other Expenditure -> Open Air Jails,open-air jails,jails_other_expenditure_open_air_jails
jails,2018-19,jails__null__jails__changes for police custody,2056__0__101__487,3.5532,3.095,3.095,4.604,level_4,jails__jails__changes for police custody,4,4,49,Jails -> Jails -> Changes For Police Custody,jails,jails_jails_changes_for_police_custody
jails,2019-20,jails__null__jails__changes for police custody,2056__0__101__487,3.0877,4.604,8.238999999999999,8.252,level_4,jails__jails__changes for police custody,4,4,50,Jails -> Jails -> Changes For Police Custody,jails,jails_jails_changes_for_police_custody
jails,2020-21,jails__null__jails__changes for police custody,2056__0__101__487,8.1282,8.252,8.252,7.6963,level_4,jails__jails__changes for police custody,4,4,51,Jails -> Jails -> Changes For Police Custody,jails,jails_jails_changes_for_police_custody
