category,level,unique_level_heads,2018-19,2019-20,2020-21,2021-22
jails,level_6,jails__null__jail manufacturers__null__null__salaries,TRUE,TRUE,TRUE,TRUE
jails,level_6,jails__null__other expenditure__open air jails__null__salaries,TRUE,TRUE,TRUE,TRUE
jails,level_6,jails__null__other expenditure__open air jails__null__travel expenses,TRUE,TRUE,TRUE,TRUE
jails,level_6,jails__null__direction and administration__head quarters establishment__null__purchase of motor vehicles,TRUE,TRUE,TRUE,TRUE
jails,level_6,jails__null__direction and administration__head quarters establishment__null__maintenance,TRUE,TRUE,TRUE,TRUE
jails,level_6,jails__null__direction and administration__range__null__office expenses,TRUE,TRUE,TRUE,TRUE
jails,level_6,jails__null__jails__district jails__null__office expenses,TRUE,TRUE,TRUE,TRUE
jails,level_6,"jails__null__jails__district jails__null__rents, rates & taxes / royalty",TRUE,TRUE,TRUE,TRUE
jails,level_6,jails__null__jails__district jails__null__machinery and equipment / tools & plants,TRUE,TRUE,TRUE,TRUE
jails,level_6,jails__null__other expenditure__open air jails__null__office expenses,TRUE,TRUE,TRUE,TRUE
jails,level_6,jails__null__other expenditure__open air jails__null__minor works,TRUE,TRUE,TRUE,TRUE
jails,level_6,jails__null__direction and administration__head quarters establishment__null__office expenses,TRUE,TRUE,TRUE,TRUE
jails,level_6,jails__null__jails__district jails__null__maintenance,TRUE,TRUE,TRUE,TRUE
jails,level_6,jails__null__jail manufacturers__null__null__travel expenses,TRUE,TRUE,TRUE,TRUE
jails,level_6,jails__null__jail manufacturers__null__null__office expenses,TRUE,TRUE,TRUE,TRUE
jails,level_6,jails__null__jail manufacturers__null__null__maintenance,TRUE,TRUE,TRUE,TRUE
jails,level_6,jails__null__other expenditure__open air jails__null__maintenance,TRUE,TRUE,TRUE,TRUE
jails,level_6,jails__null__jails__district jails__movement of prisons__salaries,TRUE,TRUE,TRUE,TRUE
jails,level_6,jails__null__jails__district jails__movement of prisons__travel expenses,TRUE,TRUE,TRUE,TRUE
jails,level_6,jails__null__jails__district jails__movement of prisons__office expenses,TRUE,TRUE,TRUE,TRUE
jails,level_6,jails__null__jails__district jails__movement of prisons__minor works,TRUE,TRUE,TRUE,TRUE
jails,level_6,jails__null__jails__district jails__movement of prisons__maintenance,TRUE,TRUE,TRUE,TRUE
jails,level_6,jails__null__jails__district jails__movement of prisons__materials & supplies,TRUE,TRUE,TRUE,TRUE
jails,level_6,"jails__null__jails__district jails__movement of prisons__rents, rates & taxes / royalty",TRUE,TRUE,TRUE,TRUE
jails,level_6,jails__null__direction and administration__head quarters establishment__null__other charges,TRUE,TRUE,TRUE,TRUE
jails,level_6,jails__null__jail manufacturers__null__null__materials & supplies,TRUE,TRUE,TRUE,TRUE
jails,level_6,"jails__null__other expenditure__open air jails__null__rents, rates & taxes / royalty",TRUE,TRUE,TRUE,TRUE
jails,level_6,jails__null__other expenditure__open air jails__null__machinery and equipment / tools & plants,TRUE,TRUE,TRUE,TRUE
jails,level_6,jails__null__other expenditure__open air jails__null__materials & supplies,TRUE,TRUE,TRUE,TRUE
jails,level_6,jails__null__jail manufacturers__null__null__machinery and equipment / tools & plants,TRUE,TRUE,TRUE,TRUE
jails,level_6,jails__null__jails__changes for police custody__movement of prisons__other charges,TRUE,TRUE,TRUE,TRUE
jails,level_6,jails__null__direction and administration__head quarters establishment__null__wages,TRUE,TRUE,TRUE,TRUE
jails,level_6,jails__null__jails__district jails__null__wages,TRUE,TRUE,TRUE,TRUE
jails,level_6,jails__null__jail manufacturers__null__null__wages,TRUE,TRUE,TRUE,TRUE
jails,level_6,jails__null__other expenditure__open air jails__null__wages,TRUE,TRUE,TRUE,TRUE
jails,level_6,jails__null__jails__district jails__movement of prisons__wages,TRUE,TRUE,TRUE,TRUE
jails,level_6,jails__null__direction and administration__head quarters establishment__null__machinery and equipment / tools & plants,TRUE,TRUE,TRUE,TRUE
jails,level_6,jails__null__direction and administration__head quarters establishment__null__grants-in-aid general (non-salary),TRUE,TRUE,TRUE,TRUE
jails,level_6,capital outlay on public works__office buildings__construction - general pool accommodation__jails__modernisation of prison administration__major works,TRUE,TRUE,TRUE,TRUE
jails,level_6,capital outlay on public works__office buildings__construction - general pool accommodation__jails__genl. security related expenditure__major works,TRUE,TRUE,TRUE,TRUE
jails,level_6,"capital outlay on public works__office buildings__construction - general pool accommodation__jails__works (construction of 11 numbers of staff quarters & expenses on construction of prisoners barrack, kitchen, dining room, latrine, master drain, etc.)__major works",TRUE,TRUE,TRUE,TRUE
jails,level_6,গড়কাপ্তানী বিভাগৰ বাবে মূলধনী বয়$কাৰ্যালয় গৃহ$নিৰ্মাণ - সাধাৰণ পুঁজিৰ ব্যৱস্থা$$$প্ৰধান কামসমূহ$অন্যান্য__capital outlay on public works__office buildings__construction - general pool accommodation__head quarters establishment__na,TRUE,FALSE,FALSE,FALSE
jails,level_6,capital outlay on public works__office buildings__construction - general pool accommodation__district jails__null__major works,TRUE,TRUE,TRUE,TRUE
jails,level_6,jails__null__jails__district jails__movement of prisons__purchase of motor vehicles,TRUE,TRUE,TRUE,TRUE
jails,level_6,capital outlay on public works__office buildings__construction - general pool accommodation__head quarters establishment__null__major works,FALSE,TRUE,TRUE,TRUE
jails,level_6,jails__null__jails__e-prisons project__null__office expenses,FALSE,TRUE,TRUE,FALSE
jails,level_6,jails__null__jails__e-prisons project__null__payment for professional and special services,FALSE,TRUE,TRUE,FALSE
jails,level_6,jails__null__jails__district jails__null__payment for professional and special services,FALSE,TRUE,TRUE,TRUE
jails,level_6,jails__null__other expenditure__open air jails__null__payment for professional and special services,FALSE,TRUE,TRUE,TRUE
jails,level_6,jails__null__direction and administration__range__null__purchase of motor vehicles,FALSE,FALSE,TRUE,TRUE
jails,level_6,jails__null__direction and administration__range__null__maintenance,FALSE,FALSE,TRUE,TRUE
jails,level_6,jails__null__other expenditure__open air jails__null__purchase of motor vehicles,FALSE,FALSE,TRUE,TRUE
jails,level_6,jails__null__deduct recoveries of overpayments__null__null__null,FALSE,FALSE,TRUE,TRUE
jails,level_6,jails__null__jails__e-prisons project__central share__information technology,FALSE,FALSE,TRUE,TRUE
jails,level_6,jails__null__jails__e-prisons project__central share__payment for professional and special services,FALSE,FALSE,TRUE,TRUE
jails,level_6,jails__null__jails__e-prisons project__central share__office expenses,FALSE,FALSE,TRUE,TRUE
jails,level_6,capital outlay on public works__office buildings__construction__district jails__null__major works,FALSE,FALSE,FALSE,TRUE
jails,level_6,capital outlay on public works__office buildings__construction__jails__modernisation of prison administration__major works,FALSE,FALSE,FALSE,TRUE
jails,level_6,capital outlay on public works__office buildings__construction__jails__general security related expenditure__major works,FALSE,FALSE,FALSE,TRUE
jails,level_6,capital outlay on public works__office buildings__construction__jails__works__major works,FALSE,FALSE,FALSE,TRUE
jails,level_7,jails__null__direction and administration__head quarters establishment__null__salaries__dearness allowance,TRUE,TRUE,TRUE,FALSE
jails,level_7,jails__null__direction and administration__head quarters establishment__null__salaries__leave travel concession,TRUE,TRUE,FALSE,FALSE
jails,level_7,jails__null__direction and administration__head quarters establishment__null__travel expenses__null,TRUE,FALSE,FALSE,FALSE
jails,level_7,jails__null__direction and administration__head quarters establishment__null__payment for professional and special services__others,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__direction and administration__range__null__salaries__others,TRUE,FALSE,FALSE,FALSE
jails,level_7,jails__null__direction and administration__range__null__salaries__dearness allowance,TRUE,TRUE,TRUE,FALSE
jails,level_7,jails__null__direction and administration__range__null__travel expenses__null,TRUE,FALSE,FALSE,FALSE
jails,level_7,jails__null__jails__district jails__null__salaries__pay,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__jails__district jails__null__salaries__dearness allowance,TRUE,TRUE,TRUE,FALSE
jails,level_7,jails__null__jails__district jails__null__salaries__leave travel concession,TRUE,TRUE,FALSE,FALSE
jails,level_7,jails__null__jails__district jails__null__salaries__medical allowance,TRUE,TRUE,TRUE,FALSE
jails,level_7,jails__null__jails__district jails__null__salaries__medical reimbursement,TRUE,TRUE,FALSE,FALSE
jails,level_7,jails__null__jails__district jails__null__salaries__arrear salary/da,TRUE,TRUE,FALSE,TRUE
jails,level_7,jails__null__jails__district jails__null__travel expenses__null,TRUE,FALSE,FALSE,FALSE
jails,level_7,jails__null__jails__district jails__null__minor works__null,TRUE,FALSE,FALSE,FALSE
jails,level_7,jails__null__jails__district jails__null__purchase of motor vehicles__null,TRUE,FALSE,FALSE,FALSE
jails,level_7,jails__null__jails__district jails__null__materials & supplies__others,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__jail manufacturers__null__null__salaries__pay,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__jail manufacturers__null__null__salaries__dearness allowance,TRUE,TRUE,TRUE,FALSE
jails,level_7,jails__null__other expenditure__open air jails__null__salaries__pay,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__other expenditure__open air jails__null__salaries__dearness allowance,TRUE,TRUE,TRUE,FALSE
jails,level_7,jails__null__other expenditure__open air jails__null__travel expenses__null,TRUE,FALSE,FALSE,FALSE
jails,level_7,jails__null__direction and administration__head quarters establishment__null__salaries__pay,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__direction and administration__head quarters establishment__null__salaries__medical allowance,TRUE,TRUE,TRUE,FALSE
jails,level_7,jails__null__direction and administration__head quarters establishment__null__salaries__house rent allowance,TRUE,TRUE,TRUE,FALSE
jails,level_7,jails__null__direction and administration__head quarters establishment__null__salaries__medical reimbursement,TRUE,TRUE,FALSE,FALSE
jails,level_7,jails__null__direction and administration__head quarters establishment__null__purchase of motor vehicles__null,TRUE,TRUE,FALSE,FALSE
jails,level_7,jails__null__direction and administration__head quarters establishment__null__maintenance__departmental building,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__direction and administration__range__null__salaries__pay,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__direction and administration__range__null__salaries__leave travel concession,TRUE,TRUE,FALSE,FALSE
jails,level_7,jails__null__direction and administration__range__null__salaries__medical allowance,TRUE,TRUE,TRUE,FALSE
jails,level_7,jails__null__direction and administration__range__null__salaries__house rent allowance,TRUE,TRUE,TRUE,FALSE
jails,level_7,jails__null__direction and administration__range__null__salaries__medical reimbursement,TRUE,TRUE,FALSE,FALSE
jails,level_7,jails__null__direction and administration__range__null__office expenses__electricity and water charge,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__direction and administration__range__null__office expenses__others,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__jails__district jails__null__salaries__house rent allowance,TRUE,TRUE,TRUE,FALSE
jails,level_7,jails__null__jails__district jails__null__office expenses__electricity and water charge,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__jails__district jails__null__office expenses__others,TRUE,TRUE,TRUE,TRUE
jails,level_7,"jails__null__jails__district jails__null__rents, rates & taxes / royalty__rates &taxes",TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__jails__district jails__null__machinery and equipment / tools & plants__machinery and equipment,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__other expenditure__open air jails__null__salaries__leave travel concession,TRUE,TRUE,FALSE,FALSE
jails,level_7,jails__null__other expenditure__open air jails__null__salaries__medical allowance,TRUE,TRUE,TRUE,FALSE
jails,level_7,jails__null__other expenditure__open air jails__null__salaries__house rent allowance,TRUE,TRUE,TRUE,FALSE
jails,level_7,jails__null__other expenditure__open air jails__null__salaries__medical reimbursement,TRUE,TRUE,FALSE,FALSE
jails,level_7,jails__null__other expenditure__open air jails__null__salaries__arrear salary/da,TRUE,TRUE,FALSE,TRUE
jails,level_7,jails__null__other expenditure__open air jails__null__office expenses__electricity and water charge,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__other expenditure__open air jails__null__office expenses__others,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__other expenditure__open air jails__null__minor works__null,TRUE,FALSE,FALSE,FALSE
jails,level_7,jails__null__direction and administration__head quarters establishment__null__office expenses__electricity and water charge,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__direction and administration__head quarters establishment__null__office expenses__others,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__jails__district jails__null__maintenance__departmental building,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__jail manufacturers__null__null__salaries__leave travel concession,TRUE,TRUE,FALSE,FALSE
jails,level_7,jails__null__jail manufacturers__null__null__salaries__medical allowance,TRUE,TRUE,TRUE,FALSE
jails,level_7,jails__null__jail manufacturers__null__null__salaries__house rent allowance,TRUE,TRUE,TRUE,FALSE
jails,level_7,jails__null__jail manufacturers__null__null__salaries__medical reimbursement,TRUE,TRUE,FALSE,FALSE
jails,level_7,jails__null__jail manufacturers__null__null__salaries__arrear salary/da,TRUE,TRUE,FALSE,TRUE
jails,level_7,jails__null__jail manufacturers__null__null__travel expenses__null,TRUE,FALSE,FALSE,FALSE
jails,level_7,jails__null__jail manufacturers__null__null__office expenses__others,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__jail manufacturers__null__null__maintenance__departmental building,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__other expenditure__open air jails__null__salaries__others,TRUE,FALSE,FALSE,FALSE
jails,level_7,jails__null__other expenditure__open air jails__null__maintenance__departmental building,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__jails__district jails__null__salaries__others,TRUE,FALSE,FALSE,FALSE
jails,level_7,jails__null__jails__district jails__movement of prisons__salaries__pay,TRUE,TRUE,TRUE,TRUE
jails,level_7,jails__null__jails__district jails__movement of prisons__salaries__dearness allowance,TRUE,TRUE,TRUE,FALSE
jails,level_7,jails__null__jails__district jails__movement of prisons__salaries__leave travel concession,TRUE,TRUE,FALSE,FALSE
jails,level_7,jails__null__jails__district jails__movement of prisons__salaries__medical allowance,TRUE,TRUE,TRUE,FALSE
jails,level_7,jails__null__jails__district jails__movement of prisons__salaries__house rent allowance,TRUE,TRUE,TRUE,FALSE
jails,level_7,jails__null__jails__district jails__movement of prisons__salaries__medical reimbursement,TRUE,TRUE,FALSE,FALSE
