budget_for,year,head_title,level_code,total_actuals,total_estimate_py,total_revised_py,total_estimate_cy,level_col,head_title_updated,level_num,min_level,display_title,category
justice,2018-19,administration of justice__null__legal advisers and counsels,2014__0__114,1771.29,5227.46,5248.96,5646.8,level_3,administration of justice__legal advisers and counsels,3,3,Administration Of Justice - Legal Advisers And Counsels,legal advisers and counsels
justice,2019-20,administration of justice__null__legal advisers and counsels,2014__0__114,4231.8,5646.8,5671.63,6056.03,level_3,administration of justice__legal advisers and counsels,3,3,Administration Of Justice - Legal Advisers And Counsels,legal advisers and counsels
justice,2020-21,administration of justice__null__legal advisers and counsels,2014__0__114,3617.21,6056.03,6248.98,5785.52,level_3,administration of justice__legal advisers and counsels,3,3,Administration Of Justice - Legal Advisers And Counsels,legal advisers and counsels
justice,2021-22,administration of justice__null__legal advisers and counsels,2014__0__114,4265.5,5785.52,5889.67,5184.66,level_3,administration of justice__legal advisers and counsels,3,3,Administration Of Justice - Legal Advisers And Counsels,legal advisers and counsels
justice,2018-19,administration of justice__null__other expenditure,2014__0__800,761.17,4160.10355,4180.21152,5053.4295,level_3,administration of justice__other expenditure,3,3,Administration Of Justice - Other Expenditure,other expenditure
justice,2019-20,administration of justice__null__other expenditure,2014__0__800,973.4200000000001,5053.4295,5056.8995,1954.1699999999998,level_3,administration of justice__other expenditure,3,3,Administration Of Justice - Other Expenditure,other expenditure
justice,2020-21,administration of justice__null__other expenditure,2014__0__800,1467.3999999999999,1954.1699999999998,2504.62,1981.16,level_3,administration of justice__other expenditure,3,3,Administration Of Justice - Other Expenditure,other expenditure
justice,2021-22,administration of justice__null__other expenditure,2014__0__800,1506.06,1981.16,2364.62,2040.66,level_3,administration of justice__other expenditure,3,3,Administration Of Justice - Other Expenditure,other expenditure
justice,2018-19,taxes on vehicles__null__other expenditure,2041__0__800,591.8,939.4486,963.9486,1023.5,level_3,taxes on vehicles__other expenditure,3,3,Taxes On Vehicles - Other Expenditure,taxes on vehicles
justice,2019-20,taxes on vehicles__null__other expenditure,2041__0__800,678.75,1023.5,1062.5,1047.41,level_3,taxes on vehicles__other expenditure,3,3,Taxes On Vehicles - Other Expenditure,taxes on vehicles
justice,2020-21,taxes on vehicles__null__other expenditure,2041__0__800,877.75,1047.41,1310.41,1244.98,level_3,taxes on vehicles__other expenditure,3,3,Taxes On Vehicles - Other Expenditure,taxes on vehicles
justice,2021-22,taxes on vehicles__null__other expenditure,2041__0__800,936.24,1244.98,1285.98,1660.19,level_3,taxes on vehicles__other expenditure,3,3,Taxes On Vehicles - Other Expenditure,taxes on vehicles
justice,2018-19,labour & employment__labour__industrial relations,2230__1__101,273.35,464.06,464.06,431.94,level_3,labour & employment__labour__industrial relations,3,3,Labour & Employment - Labour - Industrial Relations,labour and employment
justice,2019-20,labour & employment__labour__industrial relations,2230__1__101,327.03,431.94,444.47,440.41,level_3,labour & employment__labour__industrial relations,3,3,Labour & Employment - Labour - Industrial Relations,labour and employment
justice,2020-21,labour & employment__labour__industrial relations,2230__1__101,355.84000000000003,440.41,504.02,492.75,level_3,labour & employment__labour__industrial relations,3,3,Labour & Employment - Labour - Industrial Relations,labour and employment
justice,2021-22,labour & employment__labour__industrial relations,2230__1__101,425.38,492.75,493.05,585.87,level_3,labour & employment__labour__industrial relations,3,3,Labour & Employment - Labour - Industrial Relations,labour and employment
justice,2018-19,capital outlay on public works__general__construction - general pool accommodation,4059__80__101,0,7700,7700,3500,level_3,capital outlay on public works__general__construction - general pool accommodation,3,3,Capital Outlay On Public Works - General - Construction - General Pool Accommodation,capital outlay
justice,2019-20,capital outlay on public works__general__construction - general pool accommodation,4059__80__101,2080.22,3500,3500,3500,level_3,capital outlay on public works__general__construction - general pool accommodation,3,3,Capital Outlay On Public Works - General - Construction - General Pool Accommodation,capital outlay
justice,2020-21,capital outlay on public works__general__construction - general pool accommodation,4059__80__101,2367.89,3500,3500,0,level_3,capital outlay on public works__general__construction - general pool accommodation,3,3,Capital Outlay On Public Works - General - Construction - General Pool Accommodation,capital outlay
justice,2021-22,capital outlay on public works__general__construction - general pool accommodation,4059__80__101,2625.84,0,0,0,level_3,capital outlay on public works__general__construction - general pool accommodation,3,3,Capital Outlay On Public Works - General - Construction - General Pool Accommodation,capital outlay
justice,2018-19,capital outlay on housing__government residential buildings__other housing programme (gad),4216__1__700,0,2200,2200,1200,level_3,capital outlay on housing__government residential buildings__other housing programme (gad),3,3,Capital Outlay On Housing - Government Residential Buildings - Other Housing Programme (Gad),capital outlay
justice,2019-20,capital outlay on housing__government residential buildings__other housing programme (gad),4216__1__700,63.19,1200,1200,1200,level_3,capital outlay on housing__government residential buildings__other housing programme (gad),3,3,Capital Outlay On Housing - Government Residential Buildings - Other Housing Programme (Gad),capital outlay
justice,2020-21,capital outlay on housing__government residential buildings__other housing programme,4216__1__700,210.62,1200,1200,985.5,level_3,capital outlay on housing__government residential buildings__other housing programme,3,3,Capital Outlay On Housing - Government Residential Buildings - Other Housing Programme,NA
justice,2021-22,capital outlay on housing__government residential buildings__other housing programme,4216__1__700,521.1899999999999,985.5,985.5,873.18,level_3,capital outlay on housing__government residential buildings__other housing programme,3,3,Capital Outlay On Housing - Government Residential Buildings - Other Housing Programme,NA
justice,2018-19,capital outlay on housing__government residential buildings__construction general pool accomodation,4216__1__106,0,1000,1000,1600,level_3,capital outlay on housing__government residential buildings__construction general pool accomodation,3,3,Capital Outlay On Housing - Government Residential Buildings - Construction General Pool Accomodation,capital outlay
justice,2019-20,capital outlay on housing__government residential buildings__construction general pool accomodation,4216__1__106,658.87,1600,1600,2300,level_3,capital outlay on housing__government residential buildings__construction general pool accomodation,3,3,Capital Outlay On Housing - Government Residential Buildings - Construction General Pool Accomodation,capital outlay
justice,2020-21,capital outlay on housing__government residential buildings__construction general pool accomodation,4216__1__106,1606.68,2300,2300,2185,level_3,capital outlay on housing__government residential buildings__construction general pool accomodation,3,3,Capital Outlay On Housing - Government Residential Buildings - Construction General Pool Accomodation,capital outlay
justice,2021-22,capital outlay on housing__government residential buildings__construction general pool accomodation,4216__1__106,1557.15,2185,2185,1540,level_3,capital outlay on housing__government residential buildings__construction general pool accomodation,3,3,Capital Outlay On Housing - Government Residential Buildings - Construction General Pool Accomodation,capital outlay
justice,2018-19,administration of justice__null__high courts__establishment,2014__0__102__152,4901.59,5062.9888200000005,5345.9888200000005,4841.87,level_4,administration of justice__high courts__establishment,4,4,Administration Of Justice - High Courts - Establishment,high courts
justice,2019-20,administration of justice__null__high courts__establishment,2014__0__102__152,4853.4400000000005,4841.87,5606.87,6135.06,level_4,administration of justice__high courts__establishment,4,4,Administration Of Justice - High Courts - Establishment,high courts
