budget_for,year,head_title,level_code,total_actuals,total_estimate_py,total_revised_py,total_estimate_cy,level_col,head_title_updated,level_num,min_level,ref_id,display_title,category,slug
justice,2021-22,administration of justice__null__high courts,2014__0__102,67.1865,79.2416,79.2416,84.44139999999999,level_3,administration of justice__high courts,3,3,353,Administration Of Justice -> High Courts,high courts,administration_of_justice_high_courts
justice,2018-19,administration of justice__null__civil and session courts,2014__0__105,77.84609999999999,172.631077,176.18107700000002,203.203952,level_3,administration of justice__civil and session courts,3,3,354,Administration Of Justice -> Civil And Session Courts,civil and sessions court,administration_of_justice_civil_and_session_courts
justice,2019-20,administration of justice__null__civil and session courts,2014__0__105,101.04890000000002,203.203952,206.933952,157.0674,level_3,administration of justice__civil and session courts,3,3,355,Administration Of Justice -> Civil And Session Courts,civil and sessions court,administration_of_justice_civil_and_session_courts
justice,2020-21,administration of justice__null__civil and session courts,2014__0__105,131.3449,157.0674,173.53509999999997,172.13899999999998,level_3,administration of justice__civil and session courts,3,3,356,Administration Of Justice -> Civil And Session Courts,civil and sessions court,administration_of_justice_civil_and_session_courts
justice,2021-22,administration of justice__null__civil and session courts,2014__0__105,135.59269999999998,172.13899999999998,178.48899999999998,175.095,level_3,administration of justice__civil and session courts,3,3,357,Administration Of Justice -> Civil And Session Courts,civil and sessions court,administration_of_justice_civil_and_session_courts
justice,2018-19,administration of justice__null__criminal courts,2014__0__108,55.9333,88.8293032,92.2493032,95.274756,level_3,administration of justice__criminal courts,3,3,358,Administration Of Justice -> Criminal Courts,criminal courts,administration_of_justice_criminal_courts
justice,2019-20,administration of justice__null__criminal courts,2014__0__108,67.1665,95.274756,96.724756,101.2311,level_3,administration of justice__criminal courts,3,3,359,Administration Of Justice -> Criminal Courts,criminal courts,administration_of_justice_criminal_courts
justice,2020-21,administration of justice__null__criminal courts,2014__0__108,80.7087,101.2311,105.0401,104.3782,level_3,administration of justice__criminal courts,3,3,360,Administration Of Justice -> Criminal Courts,criminal courts,administration_of_justice_criminal_courts
justice,2021-22,administration of justice__null__criminal courts,2014__0__108,87.987,104.3782,107.5282,175.8716,level_3,administration of justice__criminal courts,3,3,361,Administration Of Justice -> Criminal Courts,criminal courts,administration_of_justice_criminal_courts
justice,2018-19,administration of justice__null__legal advisers and counsels,2014__0__114,17.7129,52.2746,52.4896,56.468,level_3,administration of justice__legal advisers and counsels,3,3,362,Administration Of Justice -> Legal Advisers And Counsels,legal advisers and counsels,administration_of_justice_legal_advisers_and_counsels
justice,2019-20,administration of justice__null__legal advisers and counsels,2014__0__114,42.318000000000005,56.468,56.7163,60.5603,level_3,administration of justice__legal advisers and counsels,3,3,363,Administration Of Justice -> Legal Advisers And Counsels,legal advisers and counsels,administration_of_justice_legal_advisers_and_counsels
justice,2020-21,administration of justice__null__legal advisers and counsels,2014__0__114,36.1721,60.5603,62.489799999999995,57.8552,level_3,administration of justice__legal advisers and counsels,3,3,364,Administration Of Justice -> Legal Advisers And Counsels,legal advisers and counsels,administration_of_justice_legal_advisers_and_counsels
justice,2021-22,administration of justice__null__legal advisers and counsels,2014__0__114,42.655,57.8552,58.8967,51.846599999999995,level_3,administration of justice__legal advisers and counsels,3,3,365,Administration Of Justice -> Legal Advisers And Counsels,legal advisers and counsels,administration_of_justice_legal_advisers_and_counsels
justice,2018-19,administration of justice__null__other expenditure,2014__0__800,7.6117,41.601035499999995,41.8021152,50.534295,level_3,administration of justice__other expenditure,3,3,366,Administration Of Justice -> Other Expenditure,other expenditure,administration_of_justice_other_expenditure
justice,2019-20,administration of justice__null__other expenditure,2014__0__800,9.7342,50.534295,50.568995,19.5417,level_3,administration of justice__other expenditure,3,3,367,Administration Of Justice -> Other Expenditure,other expenditure,administration_of_justice_other_expenditure
justice,2020-21,administration of justice__null__other expenditure,2014__0__800,14.674,19.5417,25.0462,19.8116,level_3,administration of justice__other expenditure,3,3,368,Administration Of Justice -> Other Expenditure,other expenditure,administration_of_justice_other_expenditure
justice,2021-22,administration of justice__null__other expenditure,2014__0__800,15.0606,19.8116,23.6462,20.4066,level_3,administration of justice__other expenditure,3,3,369,Administration Of Justice -> Other Expenditure,other expenditure,administration_of_justice_other_expenditure
justice,2018-19,taxes on vehicles__null__other expenditure,2041__0__800,5.917999999999999,9.394486,9.639486,10.235,level_3,taxes on vehicles__other expenditure,3,3,370,Taxes On Vehicles -> Other Expenditure,taxes on vehicles,taxes_on_vehicles_other_expenditure
justice,2019-20,taxes on vehicles__null__other expenditure,2041__0__800,6.7875,10.235,10.625,10.4741,level_3,taxes on vehicles__other expenditure,3,3,371,Taxes On Vehicles -> Other Expenditure,taxes on vehicles,taxes_on_vehicles_other_expenditure
justice,2020-21,taxes on vehicles__null__other expenditure,2041__0__800,8.7775,10.4741,13.1041,12.4498,level_3,taxes on vehicles__other expenditure,3,3,372,Taxes On Vehicles -> Other Expenditure,taxes on vehicles,taxes_on_vehicles_other_expenditure
justice,2021-22,taxes on vehicles__null__other expenditure,2041__0__800,9.3624,12.4498,12.8598,16.6019,level_3,taxes on vehicles__other expenditure,3,3,373,Taxes On Vehicles -> Other Expenditure,taxes on vehicles,taxes_on_vehicles_other_expenditure
justice,2018-19,labour & employment__labour__industrial relations,2230__1__101,2.7335000000000003,4.6406,4.6406,4.3194,level_3,labour & employment__labour__industrial relations,3,3,374,Labour & Employment -> Labour -> Industrial Relations,labour and employment,labour_&_employment_labour_industrial_relations
justice,2019-20,labour & employment__labour__industrial relations,2230__1__101,3.2703,4.3194,4.4447,4.404100000000001,level_3,labour & employment__labour__industrial relations,3,3,375,Labour & Employment -> Labour -> Industrial Relations,labour and employment,labour_&_employment_labour_industrial_relations
justice,2020-21,labour & employment__labour__industrial relations,2230__1__101,3.5584,4.404100000000001,5.0402,4.9275,level_3,labour & employment__labour__industrial relations,3,3,376,Labour & Employment -> Labour -> Industrial Relations,labour and employment,labour_&_employment_labour_industrial_relations
justice,2021-22,labour & employment__labour__industrial relations,2230__1__101,4.2538,4.9275,4.9305,5.8587,level_3,labour & employment__labour__industrial relations,3,3,377,Labour & Employment -> Labour -> Industrial Relations,labour and employment,labour_&_employment_labour_industrial_relations
justice,2018-19,capital outlay on public works__office buildings__construction - general pool accommodation,4059__1__101,0,73,81,79.2,level_3,capital outlay on public works__office buildings__construction - general pool accommodation,3,3,378,Capital Outlay On Public Works -> Office Buildings -> Construction - General Pool Accommodation,capital outlay,capital_outlay_on_public_works_office_buildings_construction_-_general_pool_accommodation
justice,2019-20,capital outlay on public works__office buildings__construction - general pool accommodation,4059__1__101,45.7346,79.2,108.7217,67.2,level_3,capital outlay on public works__office buildings__construction - general pool accommodation,3,3,379,Capital Outlay On Public Works -> Office Buildings -> Construction - General Pool Accommodation,capital outlay,capital_outlay_on_public_works_office_buildings_construction_-_general_pool_accommodation
justice,2020-21,capital outlay on public works__office buildings__construction - general pool accommodation,4059__1__101,67.2266,67.2,67.2,0,level_3,capital outlay on public works__office buildings__construction - general pool accommodation,3,3,380,Capital Outlay On Public Works -> Office Buildings -> Construction - General Pool Accommodation,capital outlay,capital_outlay_on_public_works_office_buildings_construction_-_general_pool_accommodation
justice,2021-22,capital outlay on public works__office buildings__construction - general pool accommodation,4059__1__101,30.7004,0,0,0,level_3,capital outlay on public works__office buildings__construction - general pool accommodation,3,3,381,Capital Outlay On Public Works -> Office Buildings -> Construction - General Pool Accommodation,capital outlay,capital_outlay_on_public_works_office_buildings_construction_-_general_pool_accommodation
justice,2018-19,capital outlay on public works__general__construction - general pool accommodation,4059__80__101,0,77,77,35,level_3,capital outlay on public works__general__construction - general pool accommodation,3,3,382,Capital Outlay On Public Works -> General -> Construction - General Pool Accommodation,capital outlay,capital_outlay_on_public_works_general_construction_-_general_pool_accommodation
justice,2019-20,capital outlay on public works__general__construction - general pool accommodation,4059__80__101,20.8022,35,35,35,level_3,capital outlay on public works__general__construction - general pool accommodation,3,3,383,Capital Outlay On Public Works -> General -> Construction - General Pool Accommodation,capital outlay,capital_outlay_on_public_works_general_construction_-_general_pool_accommodation
justice,2020-21,capital outlay on public works__general__construction - general pool accommodation,4059__80__101,23.6789,35,35,0,level_3,capital outlay on public works__general__construction - general pool accommodation,3,3,384,Capital Outlay On Public Works -> General -> Construction - General Pool Accommodation,capital outlay,capital_outlay_on_public_works_general_construction_-_general_pool_accommodation
justice,2021-22,capital outlay on public works__general__construction - general pool accommodation,4059__80__101,26.2584,0,0,0,level_3,capital outlay on public works__general__construction - general pool accommodation,3,3,385,Capital Outlay On Public Works -> General -> Construction - General Pool Accommodation,capital outlay,capital_outlay_on_public_works_general_construction_-_general_pool_accommodation
justice,2018-19,capital outlay on housing__government residential buildings__other housing programme (gad),4216__1__700,0,22,22,12,level_3,capital outlay on housing__government residential buildings__other housing programme (gad),3,3,386,Capital Outlay On Housing -> Government Residential Buildings -> Other Housing Programme (Gad),capital outlay,capital_outlay_on_housing_government_residential_buildings_other_housing_programme_(gad)
